city,Avg_Appre,,,
Kent, 	10 ,,,
Seattle, 	9 ,,,
Bellevue, 	6 ,,,
Issaquah, 	9 ,,,
Sammamish, 	5 ,,,
Covington, 	9 ,,,
Mercer Island, 	7 ,,,
Kirkland, 	5 ,,,
Redmond, 	9 ,,,
Tukwila, 	8 ,,,
Renton, 	8 ,,,
Shoreline, 	1 ,,,
Medina, 	(4),,,
Woodinville, 	8 ,,,
Snoqualmie, 	7 ,,,
Federal Way, 	2 ,,,
Yarrow Point, 	(1),,,
Kenmore, 	5 ,,,
Bothell, 	6 ,,,
Newcastle, 	2 ,,,
Clyde Hill, 	10 ,,,
Duvall, 	1 ,,,
Normandy Park, 	4 ,,,
Auburn, 	7 ,,,
Lake Forest Park, 	6 ,,,
Maple Valley, 	5 ,,,
Des Moines, 	(1),,,
SeaTac, 	7 ,,,
North Bend, 	1 ,,,
Burien, 	3 ,,,
Beaux Arts Village, 	8 ,,,
Black Diamond, 	9 ,,,
Enumclaw, 	1 ,,,
Inglewood-Finn Hill, 	(5),,,
Snoqualmie Pass, 	1 ,,,
Algona, 	1 ,,,
Vashon, 	1 ,,,
Carnation, 	(1),,,
Preston, 	7 ,,,
Pacific, 	5 ,,,
Milton, 	2 ,,,
Fall City, 	8 ,,,
Skykomish, 	(5),,,
Ravensdale, 	1 ,,,